Title,Rating,Price,Link
A Light in the Attic,Three,£51.77,http://books.toscrape.com/a-light-in-the-attic_1000/index.html
Tipping the Velvet,One,£53.74,http://books.toscrape.com/tipping-the-velvet_999/index.html
Soumission,One,£50.10,http://books.toscrape.com/soumission_998/index.html
Sharp Objects,Four,£47.82,http://books.toscrape.com/sharp-objects_997/index.html
Sapiens: A Brief History of Humankind,Five,£54.23,http://books.toscrape.com/sapiens-a-brief-history-of-humankind_996/index.html
The Requiem Red,One,£22.65,http://books.toscrape.com/the-requiem-red_995/index.html
The Dirty Little Secrets of Getting Your Dream Job,Four,£33.34,http://books.toscrape.com/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Three,£17.93,http://books.toscrape.com/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Four,£22.60,http://books.toscrape.com/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
The Black Maria,One,£52.15,http://books.toscrape.com/the-black-maria_991/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",Two,£13.99,http://books.toscrape.com/starving-hearts-triangular-trade-trilogy-1_990/index.html
Shakespeare's Sonnets,Four,£20.66,http://books.toscrape.com/shakespeares-sonnets_989/index.html
Set Me Free,Five,£17.46,http://books.toscrape.com/set-me-free_988/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Five,£52.29,http://books.toscrape.com/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Rip it Up and Start Again,Five,£35.02,http://books.toscrape.com/rip-it-up-and-start-again_986/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Three,£57.25,http://books.toscrape.com/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Olio,One,£23.88,http://books.toscrape.com/olio_984/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,One,£37.59,http://books.toscrape.com/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Libertarianism for Beginners,Two,£51.33,http://books.toscrape.com/libertarianism-for-beginners_982/index.html
It's Only the Himalayas,Two,£45.17,http://books.toscrape.com/its-only-the-himalayas_981/index.html
In Her Wake,One,£12.84,http://books.toscrape.com/in-her-wake_980/index.html
How Music Works,Two,£37.32,http://books.toscrape.com/how-music-works_979/index.html
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Three,£30.52,http://books.toscrape.com/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
Chase Me (Paris Nights #2),Five,£25.27,http://books.toscrape.com/chase-me-paris-nights-2_977/index.html
Black Dust,Five,£34.53,http://books.toscrape.com/black-dust_976/index.html
Birdsong: A Story in Pictures,Three,£54.64,http://books.toscrape.com/birdsong-a-story-in-pictures_975/index.html
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Three,£22.50,http://books.toscrape.com/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
Aladdin and His Wonderful Lamp,Three,£53.13,http://books.toscrape.com/aladdin-and-his-wonderful-lamp_973/index.html
Worlds Elsewhere: Journeys Around Shakespeare√¢Äôs Globe,Five,£40.30,http://books.toscrape.com/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
Wall and Piece,Four,£44.18,http://books.toscrape.com/wall-and-piece_971/index.html
The Four Agreements: A Practical Guide to Personal Freedom,Five,£17.66,http://books.toscrape.com/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Three,£31.05,http://books.toscrape.com/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
The Elephant Tree,Five,£23.82,http://books.toscrape.com/the-elephant-tree_968/index.html
The Bear and the Piano,One,£36.89,http://books.toscrape.com/the-bear-and-the-piano_967/index.html
Sophie's World,Five,£15.94,http://books.toscrape.com/sophies-world_966/index.html
Penny Maybe,Three,£33.29,http://books.toscrape.com/penny-maybe_965/index.html
Maude (1883-1993):She Grew Up with the country,Two,£18.02,http://books.toscrape.com/maude-1883-1993she-grew-up-with-the-country_964/index.html
"In a Dark, Dark Wood",One,£19.63,http://books.toscrape.com/in-a-dark-dark-wood_963/index.html
Behind Closed Doors,Four,£52.22,http://books.toscrape.com/behind-closed-doors_962/index.html
You can't bury them all: Poems,Two,£33.63,http://books.toscrape.com/you-cant-bury-them-all-poems_961/index.html
Slow States of Collapse: Poems,Three,£57.31,http://books.toscrape.com/slow-states-of-collapse-poems_960/index.html
Reasons to Stay Alive,Two,£26.41,http://books.toscrape.com/reasons-to-stay-alive_959/index.html
